Track Name,Artist,Value,TopPos,TopMonth,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Caroline,Aminé,2911,100,3,2017,0.952,0.318,10,-10.357,1,0.467,0.174,0,0.205,0.665,120.077,209640,4
Now and Later,Sage The Gemini,4003,29,1,2017,0.781,0.57,11,-5.874,0,0.188,0.273,0,0.196,0.858,107.059,193181,4
Love Me Now,John Legend,3259,100,3,2017,0.488,0.762,8,-3.842,1,0.0865,0.591,0,0.0763,0.709,123.889,210293,4
The Mack,Nevada,1366,36,1,2017,0.707,0.883,0,-4.281,1,0.0602,0.0707,0,0.23,0.541,106.031,167038,4
Alone,Alan Walker,3232,37,1,2017,0.676,0.929,10,-3.194,1,0.0458,0.186,0.000405,0.121,0.157,97.019,161200,4
Work,Rihanna,380,100,1,2017,0.725,0.534,11,-6.238,1,0.0946,0.0752,0,0.0919,0.558,91.974,219320,4
Otra Vez (feat. J Balvin),Zion & Lennox,4999,100,6,2017,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,209453,4
I Would Like,Zara Larsson,3618,28,1,2017,0.486,0.713,2,-3.949,0,0.0524,0.0853,0,0.0839,0.297,121.028,226720,4
Hear Me Now,Alok,5242,26,1,2017,0.789,0.442,11,-7.844,1,0.0421,0.586,0.00366,0.0927,0.45,121.971,192846,4
Shed a Light,Robin Schulz,4419,29,1,2017,0.483,0.787,8,-5.244,1,0.102,0.112,0,0.257,0.58,122.058,191379,4
Bounce Back,Big Sean,6750,19,2,2017,0.77,0.567,2,-5.698,1,0.175,0.105,0,0.125,0.26,81.477,222360,4
Love Yourself,Justin Bieber,499,100,2,2017,0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,233720,4
Cake By The Ocean,DNCE,101,53,1,2017,0.774,0.764,4,-5.445,0,0.0518,0.156,0,0.0383,0.912,118.997,219147,4
Party Monster,The Weeknd,2021,53,1,2017,0.572,0.631,1,-8.389,1,0.104,0.188,2.31e-05,0.259,0.219,77.519,249213,4
Sorry,Justin Bieber,401,55,1,2017,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,200787,4
Ride,Twenty One Pilots,1109,100,2,2017,0.645,0.713,6,-5.355,1,0.0393,0.00835,0,0.113,0.566,74.989,214507,4
La Bicicleta,Carlos Vives,174,57,1,2017,0.736,0.964,0,-2.147,1,0.129,0.198,2.32e-06,0.336,0.953,179.935,227707,4
Perfect Strangers,Jonas Blue,957,100,2,2017,0.739,0.833,1,-5.012,1,0.0463,0.35,0,0.266,0.699,117.99,195313,4
Panda,Desiigner,647,100,2,2017,0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833,246761,4
Too Good,Drake,742,100,2,2017,0.804,0.648,7,-7.805,1,0.117,0.0573,3.49e-05,0.102,0.392,117.983,263373,4
"How Far I'll Go - From ""Moana""",Alessia Cara,7561,100,5,2017,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,175517,4
Sexual,NEIKED,1570,100,2,2017,0.803,0.569,2,-7.392,1,0.0739,0.0623,0,0.083,0.809,107.986,188889,4
Into You,Ariana Grande,82,63,1,2017,0.636,0.727,9,-5.852,1,0.106,0.0161,1.12e-06,0.151,0.358,107.988,244453,4
Stressed Out,Twenty One Pilots,966,100,2,2017,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4
Deja Vu,J. Cole,1019,54,1,2017,0.653,0.409,9,-11.446,1,0.421,0.361,0.00012,0.189,0.187,174.324,264747,4
Shaky Shaky,Daddy Yankee,36,100,1,2017,0.899,0.626,6,-4.228,0,0.292,0.076,0,0.0631,0.873,88.007,234320,4
Faded,Alan Walker,673,67,1,2017,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,212627,4
The Greatest,Sia,1496,100,1,2017,0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,0.729,191.944,210227,4
Controlla,Drake,233,100,1,2017,0.607,0.476,10,-11.076,0,0.249,0.0773,0,0.113,0.347,122.976,245227,5
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,114,70,1,2017,0.746,0.877,9,-3.782,0,0.0666,0.0375,0.000833,0.233,0.751,107.985,166138,4
Traicionera,Sebastian Yatra,202,100,1,2017,0.776,0.669,11,-4.933,1,0.0638,0.142,0,0.219,0.661,91.012,228467,4
X (feat. Future),21 Savage,813,72,1,2017,0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,258880,4
Send My Love (To Your New Lover),Adele,34,100,1,2017,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023,223080,4
Juju On That Beat (TZ Anthem),Zay Hilfigerrr,54,74,1,2017,0.807,0.887,1,-3.892,1,0.275,0.00381,0,0.391,0.78,160.517,144244,4
DUELE EL CORAZON,Enrique Iglesias,26,75,1,2017,0.724,0.904,8,-3.354,0,0.0966,0.0786,0,0.226,0.846,90.999,200813,4
Hymn for the Weekend - Seeb Remix,Coldplay,251,100,1,2017,0.565,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.034,212647,4
"i hate u, i love u (feat. olivia o'brien)",gnash,742,62,1,2017,0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,251034,4
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,390,71,1,2017,0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021,243491,4
Solo Dance,Martin Jensen,10079,100,8,2017,0.744,0.836,6,-2.396,0,0.0507,0.0435,0,0.194,0.36,114.965,174933,4
Chill Bill,Rob $tone,557,71,1,2017,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,177184,4
Deu Onda,MC G15,100,75,1,2017,0.931,0.604,0,-1.41,0,0.0573,0.456,0,0.0488,0.864,129.926,144039,4
The Ocean (feat. Shy Martin),Mike Perry,241,74,1,2017,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.104,0.188,90.037,183414,4
Needed Me,Rihanna,113,100,1,2017,0.671,0.314,5,-8.091,0,0.244,0.11,0,0.0825,0.296,110.898,191600,4
Human,Rag'n'Bone Man,2690,100,3,2017,0.602,0.707,11,-4.097,1,0.302,0.393,0,0.165,0.554,75.09,200187,4
Setting Fires,The Chainsmokers,612,66,1,2017,0.627,0.717,8,-5.751,0,0.0376,0.017,0,0.261,0.561,105.05,247427,4
7 Years,Lukas Graham,53,86,1,2017,0.742,0.479,10,-5.83,1,0.0551,0.29,0,0.391,0.346,119.951,237300,4
This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,13,88,1,2017,0.793,0.729,0,-4.77,0,0.0394,0.08,3.1e-05,0.317,0.488,121.972,195547,4
Sneakin’,Drake,158,100,1,2017,0.804,0.56,8,-6.682,1,0.185,0.00479,0,0.164,0.272,85.023,251333,4
OOOUUU,Young M.A,11,90,1,2017,0.635,0.847,7,-3.152,1,0.447,0.533,0,0.154,0.568,166.072,234650,4
Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,478,100,1,2017,0.42,0.636,10,-7.216,1,0.22,0.494,0,0.122,0.784,156.104,215670,5
Make Me (Cry),Noah Cyrus,1922,52,1,2017,0.588,0.471,0,-7.287,1,0.0577,0.592,0.00146,0.0733,0.209,152.881,242081,4
Lot to Learn,Luke Christopher,1755,57,1,2017,0.422,0.852,6,-3.546,1,0.208,0.0845,0,0.0687,0.666,82.914,248387,4
Fast Car,Jonas Blue,7,94,1,2017,0.459,0.587,9,-6.983,1,0.0785,0.453,0,0.307,0.581,113.901,212424,4
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,168,54,2,2017,0.652,0.795,11,-5.192,0,0.174,0.156,0,0.123,0.788,135.018,304607,4
Water Under the Bridge,Adele,2842,42,2,2017,0.596,0.838,5,-6.52,0,0.0704,0.0189,1.54e-05,0.108,0.472,94.982,240427,4
Shout Out to My Ex,Little Mix,217,77,1,2017,0.774,0.739,0,-4.022,1,0.0952,0.0316,5.95e-06,0.119,0.823,126.002,246240,4
No Heart,21 Savage,94,100,1,2017,0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.678,140.063,235040,4
Middle,DJ Snake,4,99,1,2017,0.611,0.7,9,-5.331,1,0.0436,0.0199,0,0.0549,0.213,104.981,220573,4
Dile Que Tu Me Quieres,Ozuna,105,100,1,2017,0.721,0.687,1,-6.682,1,0.0782,0.0998,0,0.0679,0.825,175.914,226400,4
Sunset Lover,Petit Biscuit,2859,100,3,2017,0.783,0.467,6,-9.474,1,0.0503,0.729,0.809,0.109,0.236,90.838,237793,4
Photograph,Ed Sheeran,2390,100,7,2017,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
All Time Low,Jon Bellion,5295,29,2,2017,0.617,0.567,0,-4.188,1,0.0828,0.0584,0,0.0933,0.505,90.246,217603,4
Capsize,FRENSHIP,56,100,1,2017,0.683,0.708,5,-6.244,0,0.0305,0.0398,0.155,0.686,0.355,92.991,237707,4
Versace On The Floor,Bruno Mars,450,100,1,2017,0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,261240,4
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,384,83,1,2017,0.779,0.671,9,-5.829,1,0.0814,0.153,1.12e-05,0.115,0.718,104.953,177095,4
Fresh Eyes,Andy Grammer,17,100,1,2017,0.822,0.544,0,-6.797,1,0.0332,0.562,2.4e-05,0.144,0.861,122.047,198001,4
I Got You,Bebe Rexha,2825,100,1,2017,0.609,0.887,9,-4.749,0,0.0507,0.0504,4.76e-06,0.09,0.316,97.99,191812,4
Sidewalks,The Weeknd,57,100,1,2017,0.542,0.721,1,-5.136,0,0.0625,0.147,0,0.348,0.623,149.831,231360,4
Lighthouse - Andrelli Remix,Hearts & Colors,876,100,2,2017,0.595,0.662,11,-6.858,0,0.0362,0.0178,0,0.0804,0.417,96.053,218447,4
Weak,AJR,6062,100,5,2017,0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.184,0.678,123.98,201160,4
Redbone,Childish Gambino,7109,100,1,2017,0.745,0.356,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033,326933,4
Six Feet Under,The Weeknd,4,99,1,2017,0.772,0.504,6,-8.219,0,0.0761,0.129,0,0.125,0.244,140.035,237573,4
Shape of You,Ed Sheeran,33049,1,1,2017,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4
Castle on the Hill,Ed Sheeran,12003,10,2,2017,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4
Thinking out Loud,Ed Sheeran,1460,43,2,2017,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4
Don't Leave,Snakehips,3636,38,2,2017,0.657,0.703,1,-3.402,1,0.0753,0.222,0,0.256,0.338,122.381,214693,4
The A Team,Ed Sheeran,83,71,1,2017,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,258373,4
iSpy (feat. Lil Yachty),KYLE,10876,18,4,2017,0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,253107,4
Paris,The Chainsmokers,12775,10,3,2017,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,221507,4
Dangerous,The xx,39,62,1,2017,0.774,0.709,8,-6.166,1,0.0465,0.00224,0.00224,0.21,0.565,119.982,250000,4
Say Something Loving,The xx,36,65,1,2017,0.627,0.721,0,-7.782,0,0.0304,0.296,6.41e-05,0.231,0.383,130.08,238373,4
On Hold,The xx,30,100,1,2017,0.723,0.669,0,-6.784,1,0.0348,0.0522,0.192,0.109,0.35,125.051,224133,4
No Lie,Sean Paul,349,72,1,2017,0.741,0.891,7,-2.824,1,0.119,0.0437,0,0.256,0.449,102.002,221176,4
Some Kind Of Drug,G-Eazy,250,100,2,2017,0.586,0.525,0,-8.968,1,0.498,0.0705,0,0.0729,0.491,126.51,222467,4
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,678,100,4,2017,0.761,0.829,0,-3.203,0,0.0681,0.167,0,0.189,0.813,92.033,252003,4
Despacito (Featuring Daddy Yankee),Luis Fonsi,22090,1,5,2017,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,228200,4
Not Going Home,DVBBS,19,93,1,2017,0.713,0.733,6,-6.431,1,0.152,0.0933,2.23e-05,0.237,0.502,108.992,196307,4
